15590	20	131277
14896	20	131277
22657	20	131277
44991	20	131277
265	20	131277
18629	20	131277
14266	20	131277
42434	20	131277
14257	20	131277
40442	20	131277
34621	20	131277
12713	20	131277
16703	20	131277
33084	20	131277
34507	20	131277
50476	20	131277
28731	20	131277
15015	20	131277
34093	20	131274
3164	20	131274
37640	20	131274
28543	20	131274
37453	20	131252
28470	20	131252
22643	20	131252
35550	20	131252
16496	20	131252
8379	20	131274
33365	20	131274
16977	20	131274
26866	20	131274
33839	20	131274
10140	20	131274
40109	20	131274
34551	20	131277
13049	20	131277
13732	20	131277
2971	20	131277
16561	20	131277
38683	20	131277
40447	20	131277
8776	20	131277
17663	20	131277
17090	20	131277
20976	20	131277
43354	20	131277
43806	20	131277
31859	20	131277
9633	20	131277
4827	20	131277
23885	20	131277
3275	20	131277
11654	20	131277
27966	20	131277
6856	20	131277
19800	20	131277
10310	20	131252
8854	20	131252
21812	20	131252
8030	20	131252
5158	20	131252
27420	20	131252
35068	20	131252
40820	20	131252
37940	20	131275
51696	20	131275
39807	20	131275
3974	20	131275
7590	20	131275
9472	20	131275
27175	20	131273
17898	20	131273
25835	20	131273
36458	20	131273
49323	20	131273
51284	20	131273
13768	20	131273
37764	20	131273
1670	20	131273
50688	20	131252
18187	20	131252
29172	20	131252
15797	20	131252
10159	20	131252
2190	20	131275
39431	20	131275
47827	20	131275
15877	20	131252
12108	20	131274
8209	20	131274
37291	20	131274
13182	20	131274
9103	20	131274
31527	20	131274
49987	20	131274
28326	20	131274
37612	20	131275
12347	20	131275
51582	20	131275
42027	20	131257
34817	20	131257
50671	20	131257
35743	20	131257
36566	20	131257
45573	20	131273
23817	20	131273
10820	20	131273
48572	20	131273
20305	20	131273
2593	20	131273
32913	20	131273
14478	20	131273
21952	20	131273
47852	20	131252
44470	20	131252
34214	20	131252
30322	20	131252
37058	20	131252
23754	20	131252
10922	20	131252
14163	20	131252
25644	20	131252
33379	20	131252
16368	20	131252
11741	20	131266
9277	20	131266
17245	20	131266
28210	20	131266
33352	20	131266
10296	20	131277
36989	20	131277
7132	20	131277
8290	20	131277
33202	20	131277
16260	20	131277
51659	20	131277
27833	20	131277
50221	20	131277
26941	20	131277
3657	20	131277
15934	20	131277
24401	20	131277
24223	20	131277
702	20	131277
1972	20	131277
3948	20	131277
14231	20	131277
15138	20	131257
2130	20	131257
29205	20	131257
3355	20	131257
41950	20	131257
43555	20	131257
34941	20	131260
23945	20	131260
11417	20	131260
8221	20	131260
19851	20	131260
25445	20	131260
23816	20	131277
6276	20	131277
48350	20	131277
49810	20	131277
51632	20	131277
4886	20	131277
14584	20	131262
15422	20	131267
14666	20	131267
50160	20	131267
6438	20	131257
30340	20	131257
3731	20	131257
29026	20	131257
36999	20	131257
24101	20	131257
51835	20	131257
48296	20	131260
32510	20	131260
24426	20	131260
8094	20	131260
24345	20	131267
37338	20	131267
28723	20	131257
16823	20	131257
30967	20	131257
44882	20	131257
51	20	131257
31096	20	131257
16839	20	131257
48910	20	131274
7486	20	131274
35431	20	131274
13987	20	131274
48510	20	131274
34292	20	131274
18728	20	131267
22966	20	131267
49811	20	131267
19711	20	131267
18004	20	131267
17382	20	131267
28239	20	131267
24137	20	131267
15287	20	131272
9465	20	131272
28360	20	131272
39867	20	131272
43602	20	131272
